Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,3,30.00,-1.50
Query 2,0,0.00,0.00
Query 3,0,0.00,0.00
Query 4,3,30.00,-7.25
Query 5,3,30.00,-5.50
Query 6,2,20.00,-9.00
Query 7,1,10.00,0.00
Query 8,0,0.00,0.00
Query 9,1,10.00,0.00
Query 10,2,20.00,-51.00
Query 11,1,10.00,0.00
Query 12,2,20.00,-40.00
Query 13,2,20.00,-3.00
Query 14,1,10.00,0.00
Query 15,3,30.00,-15.50
Query 16,2,20.00,-28.00
Query 17,3,30.00,-31.75
Query 18,0,0.00,0.00
Query 19,1,10.00,0.00
Query 20,3,30.00,-12.50
Query 21,1,10.00,0.00
Query 22,1,10.00,0.00
Query 23,3,30.00,-17.50
Query 24,1,10.00,0.00
Query 25,0,0.00,0.00
Query 26,2,20.00,-57.00
Query 27,2,20.00,-40.00
Query 28,1,10.00,0.00
Query 29,0,0.00,0.00
Query 30,1,10.00,0.00
Query 31,1,10.00,1.00
Query 32,2,20.00,-4.00
Query 33,1,10.00,0.00
Query 34,2,20.00,-33.00
Query 35,1,10.00,0.00
Query 36,2,20.00,0.00
Query 37,5,50.00,-2.50
Query 38,2,20.00,-24.00
Query 39,3,30.00,-11.25
Query 40,2,20.00,-60.00
Query 41,2,20.00,-9.00
Query 42,2,20.00,0.00
Query 43,0,0.00,0.00
Query 44,1,10.00,0.00
Query 45,2,20.00,-129.00
Query 46,0,0.00,0.00
Query 47,2,20.00,-28.00
Query 48,0,0.00,0.00
Query 49,2,20.00,-48.00
Query 50,3,30.00,-3.50
Query 51,0,0.00,0.00
Query 52,1,10.00,0.00
Query 53,2,20.00,-72.00
Query 54,2,20.00,-4.00
Query 55,0,0.00,0.00
Query 56,1,10.00,0.00
Query 57,4,40.00,-3.20
Query 58,1,10.00,0.00
Query 59,2,20.00,-31.00
Query 60,1,10.00,0.00
Query 61,4,40.00,-1.00
Query 62,3,30.00,-15.25
Query 63,1,10.00,0.00
Query 64,0,0.00,0.00
Query 65,0,0.00,0.00
Query 66,0,0.00,0.00
Query 67,0,0.00,0.00
Query 68,4,40.00,-0.20
Query 69,0,0.00,0.00
Query 70,1,10.00,0.00
Query 71,3,30.00,-3.50
Query 72,1,10.00,0.00
Query 73,2,20.00,-16.00
Query 74,4,40.00,-8.90
Query 75,2,20.00,-33.00
Query 76,1,10.00,0.00
Query 77,0,0.00,0.00
Query 78,1,10.00,0.00
Query 79,2,20.00,0.00
Query 80,3,30.00,-5.25
Query 81,0,0.00,0.00
Query 82,1,10.00,0.00
Query 83,4,40.00,-3.40
Query 84,0,0.00,0.00
Query 85,1,10.00,1.00
Query 86,2,20.00,-15.00
Query 87,1,10.00,0.00
Query 88,3,30.00,-7.75
Query 89,2,20.00,-49.00
Query 90,5,50.00,-1.50
Query 91,0,0.00,0.00
Query 92,2,20.00,-105.00
Query 93,0,0.00,0.00
Query 94,4,40.00,-5.60
Query 95,0,0.00,0.00
Query 96,0,0.00,0.00
Query 97,1,10.00,0.00
Query 98,0,0.00,0.00
Query 99,3,30.00,-6.50
Query 100,3,30.00,-8.50
Averages,1.58,15.80,-10.65
